2       2
2.01	1.9942
2.02	1.9704
2.03	1.9296
2.04	1.8739
2.05	1.8052
2.06	1.7258
2.07	1.6376
2.08	1.5427
2.09	1.4432
2.1	1.3409
2.11	1.2373
2.12	1.1341
2.13	1.0326
2.14	0.93382
2.15	0.83882
2.16	0.74833
2.17	0.66296
2.18	0.58312
2.19	0.50912
2.2	0.44111
2.21	0.37912
2.22	0.32311
2.23	0.27292
2.24	0.22835
2.25	0.18911
2.26	0.15488
2.27	0.12534
2.28	0.10009
2.29	0.078769
2.3	0.060981
2.31	0.046344
2.32	0.034486
2.33	0.025044
2.34	0.017677
2.35	0.012063
2.36	0.0079019
2.37	0.0049215
2.38	0.0028753
2.39	0.0015448
2.4	0.00073997
2.41	0.0003
2.42	0.000093301
2.43	0.000017801
2.44	1.0005E-06
2.45	0
