0	0
0.01	1.2337E-06
0.02	0.000019739
0.03	0.000099928
0.04	0.00031581
0.05	0.00077096
0.06	0.0015984
0.07	0.0029607
0.08	0.005049
0.09	0.0080834
0.1	0.012312
0.11	0.018008
0.12	0.025473
0.13	0.035029
0.14	0.047021
0.15	0.061809
0.16	0.079768
0.17	0.10128
0.18	0.12674
0.19	0.15651
0.2	0.19098
0.21	0.23049
0.22	0.27535
0.23	0.32583
0.24	0.38214
0.25	0.44443
0.26	0.51275
0.27	0.58705
0.28	0.66718
0.29	0.75283
0.3	0.84357
0.31	0.93878
0.32	1.0377
0.33	1.1393
0.34	1.2426
0.35	1.3461
0.36	1.4484
0.37	1.5477
0.38	1.6423
0.39	1.73
0.4	1.809
0.41	1.8771
0.42	1.9321
0.43	1.972
0.44	1.995
0.45    2
